Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,US State Courts,234,Court of first instance,Illinois,Circuit Court,1st Circuit,
en-US,US State Courts,235,Court of first instance,Illinois,Circuit Court,2nd Circuit,
en-US,US State Courts,236,Court of first instance,Illinois,Circuit Court,3rd Circuit,
en-US,US State Courts,237,Court of first instance,Illinois,Circuit Court,4th Circuit,
en-US,US State Courts,238,Court of first instance,Illinois,Circuit Court,5th Circuit,
en-US,US State Courts,239,Court of first instance,Illinois,Circuit Court,6th Circuit,
en-US,US State Courts,240,Court of first instance,Illinois,Circuit Court,7th Circuit,Sangamon County Circuit Court
en-US,US State Courts,241,Court of first instance,Illinois,Circuit Court,8th Circuit,Adams County Circuit Court
en-US,US State Courts,242,Court of first instance,Illinois,Circuit Court,9th Circuit,
en-US,US State Courts,243,Court of first instance,Illinois,Circuit Court,10th Circuit,
en-US,US State Courts,244,Court of first instance,Illinois,Circuit Court,11th Circuit,
en-US,US State Courts,245,Court of first instance,Illinois,Circuit Court,12th Circuit,
en-US,US State Courts,246,Court of first instance,Illinois,Circuit Court,13th Circuit,
en-US,US State Courts,247,Court of first instance,Illinois,Circuit Court,14th Circuit,
en-US,US State Courts,248,Court of first instance,Illinois,Circuit Court,15th Circuit,
