Term Locale,Term Category,Act Alias Name,Act Alias Year,Act Identity Name,Act Identity Year,Case Sensitive
en-US,Geopolitcal - Acts,"Financial Institutions Reform, Recovery And Enforcement",1989,"Financial Institutions Reform, Recovery, And Enforcement",1989,FALSE
en-US,Geopolitcal - Acts,"Financial Institutions Reform, Recovery, And Enforcement",1989,,,FALSE
en-US,Geopolitcal - Acts,Financial Institutions Regulatory And Interest Rate Control,1978,,,FALSE
en-US,Geopolitcal - Acts,Financial Institutions Supervisory,1966,,,FALSE
en-US,Geopolitcal - Acts,Financial Modernization,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Financial Regulatory Relief and Economic Efficiency,2000,,,FALSE
en-US,Geopolitcal - Acts,Financial Services,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Financial Services Modernization,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Financial Services Regulatory Relief,2002,,,FALSE
en-US,Geopolitcal - Acts,Financial Services Regulatory Relief,2006,,,FALSE
en-US,Geopolitcal - Acts,Fishery Conservation and Management,1976,,,FALSE
en-US,Geopolitcal - Acts,Flammable Fabrics,1953,,,FALSE
en-US,Geopolitcal - Acts,Flood Disaster Protection,1973,,,FALSE
en-US,Geopolitcal - Acts,Food And Drug Administration Modernization,1997,,,FALSE
en-US,Geopolitcal - Acts,Food And Drug Modernization,1997,Food And Drug Administration Modernization,1997,FALSE
en-US,Geopolitcal - Acts,Food Security,1985,,,FALSE
en-US,Geopolitcal - Acts,"Food, Agriculture, Conservation And Trade",1990,,,FALSE
en-US,Geopolitcal - Acts,"Food, Drug And Cosmetic",1938,"Federal Food, Drug, And Cosmetic",1938,FALSE
en-US,Geopolitcal - Acts,Foreign Account Tax Compliance,2010,,,FALSE
en-US,Geopolitcal - Acts,Foreign Corrupt Practices,1977,,,FALSE
en-US,Geopolitcal - Acts,Foreign Investment In Real Property Tax,1980,,,FALSE
en-US,Geopolitcal - Acts,Frac,2009,Fracturing Responsibility and Awareness of Chemicals,2009,FALSE
en-US,Geopolitcal - Acts,Fracturing Responsibility and Awareness of Chemicals,2009,,,FALSE
en-US,Geopolitcal - Acts,Futures Trading Practices,1992,,,FALSE
en-US,Geopolitcal - Acts,G l b,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Garn St . Germain Depository Institutions,1982,,,FALSE
en-US,Geopolitcal - Acts,General Mining,1872,,,FALSE
en-US,Geopolitcal - Acts,Generic Animal Drug And Patent Term Restoration,1988,,,FALSE
en-US,Geopolitcal - Acts,Generic Drug Enforcement,1992,,,FALSE
en-US,Geopolitcal - Acts,Georgia Hazardous Site Response,1993,,,FALSE
en-US,Geopolitcal - Acts,Geothermal Steam,1970,,,FALSE
en-US,Geopolitcal - Acts,Glass Steagall,1933,Banking,1933,FALSE
en-US,Geopolitcal - Acts,Glb,1999,Gramm Leach Bliley Financial Services Modernization,1999,FALSE
en-US,Geopolitcal - Acts,Government Securities,1986,,,FALSE
