Term Locale,Term Category,Term,CaseSensitive,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Knowledge and Information Management Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Science & Engineering Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Health and Safety Executive,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Her Majesty's Government Communications Centre,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Her Majesty’s Prison and Probation Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Heritage Lottery Fund,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,High Speed Two,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Higher Education Funding Council for England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Highways England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Historic England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Homes and Communities Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Horniman Public Museum and Public Park Trust,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Horserace Betting Levy Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,House of Lords Appointments Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Housing Ombudsman,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Human Fertilisation and Embryology Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Human Tissue Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HS2,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Imperial War Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Advisory Panel on Deaths in Custody,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Agricultural Appeals Panel,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Anti-slavery Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Independent Case Examiner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
