Term Locale,Term Type,Term,CaseSensitive
en-US,Hawaii Agencies,State of Hawaii Department of the Attorney General,FALSE
en-US,Hawaii Agencies,Hawaii Department of Health,FALSE
en-US,Hawaii Agencies,Hawaii Department of Human Services,FALSE
en-US,Hawaii Agencies,Hawaii Department of Transportation,FALSE
en-US,Hawaii Agencies,Hawaii Division of Conservation and Resource Enforcement,FALSE
en-US,Hawaii Agencies,"Hawaii Prosecuting Attorney Office, Criminal Investigations Unit",FALSE
en-US,Hawaii Agencies,Hawaii Public Utilities Commission,FALSE
en-US,Hawaii Agencies,Hawaii State Foundation on Culture and the Arts,FALSE
en-US,Hawaii Agencies,Hawaii State Public Library System,FALSE
en-US,Hawaii Agencies,Office of Hawaiian Affairs,FALSE
en-US,Idaho Agencies,Idaho Department of Commerce,FALSE
en-US,Idaho Agencies,Idaho State Department of Education,FALSE
en-US,Idaho Agencies,Idaho Department of Environmental Quality,FALSE
en-US,Idaho Agencies,Idaho Department of Fish and Game,FALSE
en-US,Idaho Agencies,Idaho State Historical Society,FALSE
en-US,Idaho Agencies,Idaho Military Department,FALSE
en-US,Idaho Agencies,Idaho Department of Juvenile Corrections,FALSE
en-US,Idaho Agencies,Idaho Department of Lands,FALSE
en-US,Idaho Agencies,Idaho Commission for Libraries,FALSE
en-US,Idaho Agencies,Idaho State Liquor Division,FALSE
en-US,Idaho Agencies,Idaho Lottery,FALSE
en-US,Idaho Agencies,Idaho Potato Commission,FALSE
en-US,Idaho Agencies,Idaho Transportation Department,FALSE
en-US,Idaho Agencies,Idaho Public Utilities Commission,FALSE
en-US,Illinois Agencies,Illinois Department on Aging,FALSE
en-US,Illinois Agencies,Illinois Department of Agriculture,FALSE
en-US,Illinois Agencies,Illinois Arts Council,FALSE
en-US,Illinois Agencies,Capital Development Board,FALSE
en-US,Illinois Agencies,Illinois Department of Central Management Services,FALSE
en-US,Illinois Agencies,Illinois Department of Children and Family Services,FALSE
en-US,Illinois Agencies,Illinois Department of Commerce and Economic Opportunity,FALSE
en-US,Illinois Agencies,Illinois Commerce Commission,FALSE
en-US,Illinois Agencies,Illinois Bureau of Criminal Investigations,FALSE
en-US,Illinois Agencies,Illinois State Board of Education,FALSE
en-US,Illinois Agencies,Illinois State Board of Elections,FALSE
en-US,Illinois Agencies,Illinois Emergency Management Agency,FALSE
en-US,Illinois Agencies,Illinois Department of Employment Security,FALSE
en-US,Illinois Agencies,Illinois Environmental Protection Agency,FALSE
en-US,Illinois Agencies,Illinois Department of Financial and Professional Regulation,FALSE
en-US,Illinois Agencies,Illinois Health Benefits Exchange,FALSE
en-US,Illinois Agencies,Illinois Department of Healthcare and Family Services,FALSE
en-US,Illinois Agencies,Illinois Historic Preservation Agency,FALSE
en-US,Illinois Agencies,Illinois Department of Human Rights,FALSE
en-US,Illinois Agencies,Illinois Department of Human Services,FALSE
en-US,Illinois Agencies,Illinois Department of Insurance,FALSE
en-US,Illinois Agencies,Illinois Department of Juvenile Justice,FALSE
en-US,Illinois Agencies,Illinois Department of Labor,FALSE
en-US,Illinois Agencies,Illinois State Lottery,FALSE
en-US,Illinois Agencies,Illinois Municipal Retirement Fund,FALSE
en-US,Illinois Agencies,Illinois National Guard,FALSE
en-US,Illinois Agencies,Illinois Department of Natural Resources,FALSE
en-US,Illinois Agencies,Illinois Department of Public Health,FALSE
en-US,Illinois Agencies,Illinois Department of Revenue,FALSE
en-US,Illinois Agencies,Serve Illinois Commission,FALSE
en-US,Illinois Agencies,Illinois Secretary of State,FALSE
en-US,Illinois Agencies,State Universities Retirement System,FALSE
en-US,Illinois Agencies,Teachers' Retirement System of the State of Illinois,FALSE
en-US,Illinois Agencies,Illinois State Toll Highway Authority,FALSE
en-US,Illinois Agencies,Illinois Department of Transportation,FALSE
en-US,Illinois Agencies,Illinois Department of Veterans' Affairs,FALSE
en-US,Indiana Agencies,Indiana Department of Environmental Management,FALSE
en-US,Indiana Agencies,Hoosier Lottery,FALSE
en-US,Indiana Agencies,Indiana Alcohol and Tobacco Commission,FALSE
en-US,Indiana Agencies,Indiana Department of Administration,FALSE
en-US,Indiana Agencies,Indiana Department of Education,FALSE
en-US,Indiana Agencies,Indiana Department of Transportation,FALSE
en-US,Indiana Agencies,Indiana Geological Survey,FALSE
en-US,Indiana Agencies,Indiana Office of Community & Rural Affairs,FALSE
en-US,Indiana Agencies,Indiana Utility Regulatory Commission,FALSE
en-US,Indiana Agencies,Indiana Department of Natural Resources,FALSE
en-US,Iowa Agencies,Iowa Alcoholic Beverages Division,FALSE
en-US,Iowa Agencies,Iowa Animal Industry Bureau,FALSE
en-US,Iowa Agencies,Iowa Department of Education,FALSE
en-US,Iowa Agencies,Iowa Civil Rights Commission,FALSE
en-US,Iowa Agencies,Iowa Department of Human Services,FALSE
en-US,Iowa Agencies,Iowa Department of Natural Resources,FALSE
en-US,Iowa Agencies,Iowa Department of Public Safety,FALSE
en-US,Iowa Agencies,Iowa Department of Transportation,FALSE
en-US,Iowa Agencies,Iowa National Guard,FALSE
en-US,Iowa Agencies,Iowa Utilities Board,FALSE
en-US,Iowa Agencies,State Historical Society of Iowa,FALSE
en-US,Kansas Agencies,Adjutant General of Kansas,FALSE
en-US,Kansas Agencies,Kansas Department of Administration,FALSE
en-US,Kansas Agencies,Kansas Department of Agriculture,FALSE
en-US,Kansas Agencies,Kansas Department of Commerce,FALSE
en-US,Kansas Agencies,Kansas Dental Board,FALSE
en-US,Kansas Agencies,"Kansas Department of Agriculture, Division of Water Resources",FALSE
en-US,Kansas Agencies,Kansas Department of Revenue,FALSE
en-US,Kansas Agencies,"Kansas Department of Wildlife, Parks and Tourism",FALSE
en-US,Kansas Agencies,Kansas Juvenile Justice Authority,FALSE
en-US,Kansas Agencies,Kansas Sentencing Commission,FALSE
en-US,Kansas Agencies,Kansas State Board of Nursing,FALSE
en-US,Kansas Agencies,Kansas State Department of Education,FALSE
en-US,Kansas Agencies,State Library of Kansas,FALSE
en-US,Kansas Agencies,Kansas Lottery,FALSE
