Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,Geopolitical - Courts,173,Federal,Pennsylvania,Bankruptcy Court,Middle District of Pennsylvania,Bankr. M.D. Pa.
en-US,Geopolitical - Courts,174,Federal,Pennsylvania,Bankruptcy Court,Western District of Pennsylvania,Bankr. W.D. Pa.
en-US,Geopolitical - Courts,175,Federal,Puerto Rico,Bankruptcy Court,District of Puerto Rico,Bankr. D.P.R.
en-US,Geopolitical - Courts,176,Federal,Rhode Island,Bankruptcy Court,District of Rhode Island,Bankr. D.R.I.
en-US,Geopolitical - Courts,177,Federal,South Carolina,Bankruptcy Court,District of South Carolina,Bankr. D.S.C.
en-US,Geopolitical - Courts,178,Federal,South Dakota,Bankruptcy Court,District of South Dakota,Bankr. D.S.D.
en-US,Geopolitical - Courts,179,Federal,Tennessee,Bankruptcy Court,Eastern District of Tennessee,Bankr. E.D. Tenn.
en-US,Geopolitical - Courts,180,Federal,Tennessee,Bankruptcy Court,Middle District of Tennessee,Bankr. M.D. Tenn.
en-US,Geopolitical - Courts,181,Federal,Tennessee,Bankruptcy Court,Western District of Tennessee,Bankr. W.D. Tenn.
en-US,Geopolitical - Courts,182,Federal,Texas,Bankruptcy Court,Eastern District of Texas,Bankr. E.D. Tex.
en-US,Geopolitical - Courts,183,Federal,Texas,Bankruptcy Court,Northern District of Texas,Bankr. N.D. Tex.
en-US,Geopolitical - Courts,184,Federal,Texas,Bankruptcy Court,Southern District of Texas,Bankr. S.D. Tex.
en-US,Geopolitical - Courts,185,Federal,Texas,Bankruptcy Court,Western District of Texas,Bankr. W.D. Tex.
en-US,Geopolitical - Courts,186,Federal,Utah,Bankruptcy Court,District of Utah,Bankr. D. Utah
en-US,Geopolitical - Courts,187,Federal,Vermont,Bankruptcy Court,District of Vermont,Bankr. D. Vt.
en-US,Geopolitical - Courts,188,Federal,Virginia,Bankruptcy Court,Eastern District of Virginia,Bankr. E.D. Va.
en-US,Geopolitical - Courts,189,Federal,Virginia,Bankruptcy Court,Western District of Virginia,Bankr. W.D. Va.
en-US,Geopolitical - Courts,190,Federal,Washington,Bankruptcy Court,Eastern District of Washington,Bankr. E.D. Wash.
en-US,Geopolitical - Courts,191,Federal,Washington,Bankruptcy Court,Western District of Washington,Bankr. W.D. Wash.
en-US,Geopolitical - Courts,192,Federal,West Virginia,Bankruptcy Court,Northern District of West Virginia,Bankr. N.D.W. Va.
en-US,Geopolitical - Courts,193,Federal,West Virginia,Bankruptcy Court,Southern District of West Virginia,Bankr. S.D.W. Va.
en-US,Geopolitical - Courts,194,Federal,Wisconsin,Bankruptcy Court,Eastern District of Wisconsin,Bankr. E.D. Wis.
en-US,Geopolitical - Courts,195,Federal,Wisconsin,Bankruptcy Court,Western District of Wisconsin,Bankr. W.D. Wis.
en-US,Geopolitical - Courts,196,Federal,Wyoming,Bankruptcy Court,District of Wyoming,Bankr. D. Wyo.
en-US,Geopolitical - Courts,108,Federal,Federal,Federal Court,United States Tax Court,Tax; Tax Court
