Court ID,Level,Court Type (en-US),Court Type (de-DE),Court Name,,,,,,,,,,,,,,,,,,,,,,,
155,Regional,Social Court,Landessozialgericht,Landessozialgericht Sachsen-Anhalt,,,,,,,,,,,,,,,,,,,,,,,
156,Regional,Social Court,Landessozialgericht,Schleswig-Holsteinisches Landessozialgericht,,,,,,,,,,,,,,,,,,,,,,,
157,Regional,Social Court,Landessozialgericht,Thüringer Landessozialgericht,,,,,,,,,,,,,,,,,,,,,,,
158,Supreme Court,Supreme Federal Adminstrative Court,Bundesverwaltungsgericht,Bundesverwaltungsgericht,,,,,,,,,,,,,,,,,,,,,,,
159,Regional,Administrative Court,Verwaltungsgerichtshof,Verwaltungsgerichtshof Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,
160,Regional,Administrative Court,Verwaltungsgerichtshof,Bayerischer Verwaltungsgerichtshof,,,,,,,,,,,,,,,,,,,,,,,
161,Regional,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Berlin-Brandenburg,,,,,,,,,,,,,,,,,,,,,,,
162,Regional,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht der Freien Hansestadt Bremen,,,,,,,,,,,,,,,,,,,,,,,
163,Regional,Administrative Court,Verwaltungsgerichtshof,Hamburgisches Oberverwaltungsgericht,,,,,,,,,,,,,,,,,,,,,,,
164,Regional,Administrative Court,Verwaltungsgerichtshof,Hessischer Verwaltungsgerichtshof,,,,,,,,,,,,,,,,,,,,,,,
165,Regional,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Mecklenburg-Vorpommern,,,,,,,,,,,,,,,,,,,,,,,
166,Regional,Administrative Court,Verwaltungsgerichtshof,Niedersächsisches Oberverwaltungsgericht,,,,,,,,,,,,,,,,,,,,,,,
167,Regional,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht für das Land Nordrhein-Westfalen,,,,,,,,,,,,,,,,,,,,,,,
168,Regional,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Rheinland-Pfalz,,,,,,,,,,,,,,,,,,,,,,,
169,Regional,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Saarlandes,,,,,,,,,,,,,,,,,,,,,,,
170,Regional,Administrative Court,Verwaltungsgerichtshof,Sächsisches Oberverwaltungsgericht,,,,,,,,,,,,,,,,,,,,,,,
171,Regional,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Landes Sachsen-Anhalt,,,,,,,,,,,,,,,,,,,,,,,
172,Regional,Administrative Court,Verwaltungsgerichtshof,Schleswig-Holsteinisches Oberverwaltungsgericht,,,,,,,,,,,,,,,,,,,,,,,
173,Regional,Administrative Court,Verwaltungsgerichtshof,Thüringer Oberverwaltungsgericht,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
