Term Locale,Term Category,Subcategory,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,California Agencies,California Natural Resources Agency,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Division of Occupational Safety and Health,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Office of Administrative Law,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Office of Environmental Health Hazard Assessment,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Parks and Recreation,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California State Personnel Board,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Postsecondary Education Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Prison Industry Authority,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Public Health,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Bureau of Real Estate Appraisers,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Register of Historical Resources,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Resources Recycling and Recovery,,FALSE
en-US,Geopolitical - Agencies,California Agencies,San Francisco Bay Conservation and Development Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,San Francisco Estuary Partnership,,FALSE
en-US,Geopolitical - Agencies,California Agencies,Santa Monica Mountains Conservancy,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Science Center,,FALSE
en-US,Geopolitical - Agencies,California Agencies,Sierra Nevada Conservancy,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Social Services,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California State Board of Education,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California State Lands Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California State Library,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California State Transportation Agency,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Strawberry Commission,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Commission on Teacher Credentialing,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Technology,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Office of Tourism,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Transportation,CalTrans,FALSE
en-US,Geopolitical - Agencies,California Agencies,California Department of Water Resources,,FALSE
en-US,Geopolitical - Agencies,California Agencies,California State Water Resources Control Board,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Reginald Bicha,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Council on the Arts,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Education,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Higher Education,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Human Services,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Military and Veterans Affairs,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Division of Aeronautics,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Division of Forestry,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Division of Insurance,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Lottery,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado National Guard,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado Parks and Wildlife,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado River Water Conservation District,,FALSE
en-US,Geopolitical - Agencies,Colorado Agencies,Colorado State Board of Education,,FALSE
